date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:31	19836/19836	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:34%20GMT	http://103.53.42.56/images/products/general-engineering-rope.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/general-engineering-rope.webp	(from http://103.53.42.56/wire-rope.html)
18:57:34	33422/33422	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:44%20GMT	http://103.53.42.56/images/products/webbing-sling-safety-factor.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/webbing-sling-safety-factor.webp	(from http://103.53.42.56/webbing-slings.html)
18:57:36	26194/26194	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:32%20GMT	http://103.53.42.56/images/products/endless-round-sling.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/endless-round-sling.webp	(from http://103.53.42.56/webbing-slings.html)
18:57:36	37346/37346	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:44%20GMT	http://103.53.42.56/images/products/webbing-sling-safety-factor-1.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/webbing-sling-safety-factor-1.webp	(from http://103.53.42.56/webbing-slings.html)
18:57:36	9152/9152	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:26%20GMT	http://103.53.42.56/images/products/chain-slings.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-slings.webp	(from http://103.53.42.56/chain-slings.html)
18:57:37	9594/9594	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:24%20GMT	http://103.53.42.56/images/products/chain-sling-1.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-sling-1.webp	(from http://103.53.42.56/chain-slings.html)
18:57:37	38700/38700	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:34%20GMT	http://103.53.42.56/images/products/ferreterro-specification.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/ferreterro-specification.webp	(from http://103.53.42.56/webbing-slings.html)
18:57:38	8032/8032	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:26%20GMT	http://103.53.42.56/images/products/chain-sling-2.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-sling-2.webp	(from http://103.53.42.56/chain-slings.html)
18:57:38	11008/11008	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:26%20GMT	http://103.53.42.56/images/products/chain-sling-3.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-sling-3.webp	(from http://103.53.42.56/chain-slings.html)
18:57:39	8544/8544	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:42%20GMT	http://103.53.42.56/images/products/u-clamps.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/u-clamps.webp	(from http://103.53.42.56/u-clamps.html)
18:57:40	18216/18216	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:26%20GMT	http://103.53.42.56/images/products/chain-sling-specification.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-sling-specification.webp	(from http://103.53.42.56/chain-slings.html)
18:57:40	7060/7060	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:28%20GMT	http://103.53.42.56/images/products/d-clamps.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/d-clamps.webp	(from http://103.53.42.56/d-clamps.html)
18:57:42	25128/25128	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:42%20GMT	http://103.53.42.56/images/products/u-clamps-specification.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/u-clamps-specification.webp	(from http://103.53.42.56/u-clamps.html)
18:57:43	14782/14782	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:52%20GMT	http://103.53.42.56/images/service/warranty.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/service/warranty.webp	(from http://103.53.42.56/services.html)
18:57:44	26508/26508	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:50%20GMT	http://103.53.42.56/images/service/installation-erection-of-hoist-cranes.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/service/installation-erection-of-hoist-cranes.webp	(from http://103.53.42.56/services.html)
18:57:46	28724/28724	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:50%20GMT	http://103.53.42.56/images/service/machines.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/service/machines.webp	(from http://103.53.42.56/services.html)
18:57:47	24664/24664	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:50%20GMT	http://103.53.42.56/images/service/on-demand-service.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/service/on-demand-service.webp	(from http://103.53.42.56/services.html)
18:57:48	22684/22684	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:52%20GMT	http://103.53.42.56/images/service/spare-parts.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/service/spare-parts.webp	(from http://103.53.42.56/services.html)
18:57:48	68170/68170	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:26%20GMT	http://103.53.42.56/images/products/d-clamps-specification.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/d-clamps-specification.webp	(from http://103.53.42.56/d-clamps.html)
